TrafficType_15,Month_Nov,Administrative_Duration_mm_yj_stdev,VisitorType_New_Visitor,Informational_mm_yj_stdev,TrafficType_2,TrafficType_3,ProductRelated_mm_yj_stdev,PageValues_mm_yj_stdev,Month_May,TrafficType_13,OperatingSystems_3,TrafficType_1,add_exit_bounce_rates_mm_yj_stdev,Month_Mar,TrafficType_18,TrafficType_8,SpecialDay_0.8,Month_Feb,TrafficType_12,Browser_12,Revenue
0,0,-0.0,0,-0.0,0,0,0.001399362809111623,-0.0,0,0,0,1,0.15099893790213584,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,1,0,0.0027612892690997066,-0.0,0,0,0,0,0.11725233831074348,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,1,0.001399362809111623,-0.0,0,0,0,0,0.15099893790213584,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,0,0.0027612892690997066,-0.0,0,0,1,0,0.1406662758896197,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,0,0.012428997700903928,-0.0,0,0,1,0,0.09956883757211654,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,1,0.021096149774362784,-0.0,0,0,0,0,0.07131351251077457,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,1,0.001399362809111623,-0.0,0,0,0,0,0.15099893790213584,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,0,-0.0,-0.0,0,0,0,0,0.15099893790213584,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,1,0.0027612892690997066,-0.0,0,0,0,0,0.11725233831074348,0,0,0,1,1,0,0,0
0,0,-0.0,0,-0.0,1,0,0.0040868317332891325,-0.0,0,0,0,0,0.045528007824649594,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,1,0.0040868317332891325,-0.0,0,0,0,0,0.09703601802715132,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,1,0.018434266481444233,-0.0,0,0,0,0,0.07625324991707941,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,1,0.009045143294535585,-0.0,0,0,0,0,0.05550554168759962,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,1,0.00785521927712391,-0.0,0,0,0,0,0.09703601802715132,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,1,0.0027612892690997066,-0.0,0,0,1,0,0.11725233831074348,0,0,0,0,1,0,0,0
0,0,0.012289057193089094,0,-0.0,0,1,0.024332381571525334,-0.0,0,0,0,0,0.04947018836071892,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,1,0.001399362809111623,-0.0,0,0,0,0,0.15099893790213584,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,0,0.015551662832249099,-0.0,0,0,0,0,0.017907499099821398,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,1,0.0027612892690997066,-0.0,0,0,0,0,0.11725233831074348,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,0,0.02193750068756253,-0.0,0,0,0,0,0.022798658450852553,0,0,0,0,1,0,0,0
0,0,-0.0,0,-0.0,0,0,0.010203498628435228,-0.0,0,0,0,1,0.0192871412418788,0,0,0,0,1,0,0,0
